# ----------------------------------------
# 1 Master View
# User Explorer
# 20180601-20180926
# ----------------------------------------

Client Id,Sessions,Avg. Session Duration,Bounce Rate,Revenue,Transactions,Goal Conversion Rate
517999879.1534982584,3,00:00:00,100.00%,$0.00,0,0.00%
518757577.1528318177,3,00:00:00,100.00%,$0.00,0,0.00%
518958255.1535360897,3,00:01:36,66.67%,$0.00,0,0.00%
522664476.1524013102,3,00:00:00,100.00%,$0.00,0,0.00%
523706537.1532326570,3,00:00:47,66.67%,$0.00,0,66.67%
523948833.1531764009,3,00:00:03,66.67%,$0.00,0,0.00%
524078553.1532104458,3,00:00:00,100.00%,$0.00,0,0.00%
524264778.1537023258,3,00:02:12,66.67%,$0.00,0,33.33%
525331867.1528448975,3,00:09:09,66.67%,$0.00,0,0.00%
525340933.1537504660,3,00:00:00,100.00%,$0.00,0,0.00%
525928952.1533917267,3,00:00:32,66.67%,$0.00,0,0.00%
527733741.1535642657,3,00:00:00,100.00%,$0.00,0,0.00%
528394926.1530644765,3,00:12:04,66.67%,$0.00,0,133.33%
528829189.1532479646,3,00:01:51,66.67%,$0.00,0,33.33%
528881688.1532854653,3,00:01:15,66.67%,$0.00,0,33.33%
528987489.1530496212,3,00:00:12,66.67%,$0.00,0,0.00%
52933883.1529460521,3,00:09:43,66.67%,$0.00,0,0.00%
529507891.1527181426,3,00:00:00,100.00%,$0.00,0,0.00%
529978693.1531032819,3,00:00:00,100.00%,$0.00,0,0.00%
530970070.1535439345,3,00:00:16,66.67%,$0.00,0,0.00%
531726347.1532728338,3,00:00:00,100.00%,$0.00,0,0.00%
53468083.1528003638,3,00:00:00,100.00%,$0.00,0,0.00%
53471148.1532422908,3,00:01:06,66.67%,$0.00,0,33.33%
53717432.1536183686,3,00:00:15,66.67%,$0.00,0,0.00%
537220198.1528946019,3,00:00:05,66.67%,$0.00,0,0.00%
53797202.1530640121,3,00:00:00,100.00%,$0.00,0,0.00%
539767311.1527882933,3,00:00:01,66.67%,$0.00,0,0.00%
540877219.1529037768,3,00:00:14,66.67%,$0.00,0,0.00%
541968592.1526186559,3,00:00:00,100.00%,$0.00,0,0.00%
542053975.1536190899,3,00:00:04,66.67%,$0.00,0,0.00%
542597230.1529968730,3,00:00:03,66.67%,$0.00,0,0.00%
542949124.1530258629,3,00:00:00,100.00%,$0.00,0,0.00%
544231382.1534770279,3,00:00:00,100.00%,$0.00,0,0.00%
544806067.1523380518,3,00:00:00,100.00%,$0.00,0,0.00%
546378691.1534195991,3,00:00:00,100.00%,$0.00,0,0.00%
546535706.1537689410,3,00:00:00,100.00%,$0.00,0,0.00%
547155913.1537301252,3,00:00:53,66.67%,$0.00,0,0.00%
547807401.1533725031,3,00:02:39,66.67%,$0.00,0,0.00%
548835348.1533610926,3,00:00:00,100.00%,$0.00,0,0.00%
549084021.1531959902,3,00:00:19,66.67%,$0.00,0,0.00%
549105480.1531847456,3,00:00:00,100.00%,$0.00,0,0.00%
549265740.1535598559,3,00:02:15,66.67%,$0.00,0,33.33%
550471125.1530209147,3,00:00:32,66.67%,$0.00,0,0.00%
550695378.1527927926,3,00:00:03,66.67%,$0.00,0,0.00%
551377143.1536846242,3,00:00:00,100.00%,$0.00,0,0.00%
552296459.1527445175,3,00:00:00,100.00%,$0.00,0,0.00%
552360210.1530222375,3,00:00:00,100.00%,$0.00,0,0.00%
552452735.1533252383,3,00:00:00,100.00%,$0.00,0,0.00%
552676475.1537726070,3,00:00:00,100.00%,$0.00,0,0.00%
5530002.1534831121,3,00:00:02,66.67%,$0.00,0,0.00%
